count,1,2,3,4,5,6,7,persons,amounts,total,odd,even,yellow,blue,red,green,gray,band,1continue,2continue,3continue,4continue,endigDigit
306,4,18,23,30,34,41,19,5,"2,102,669,520",150,2,4,1,1,2,1,1,5,0,0,0,0,2
307,5,15,21,23,25,45,12,4,"2,587,643,250",134,6,0,1,1,3,0,1,4,0,0,0,0,4
308,14,15,17,19,37,45,40,1,"10,232,872,800",147,5,1,0,4,0,1,1,3,1,0,0,0,2
309,1,2,5,11,18,36,22,11,"901,622,946",73,3,3,3,2,0,1,0,3,1,0,0,0,2
310,1,5,19,28,34,41,16,8,"1,296,713,325",128,4,2,2,1,1,1,1,5,0,0,0,0,2
311,4,12,24,27,28,32,10,8,"1,237,691,063",127,1,5,1,1,3,1,0,4,1,0,0,0,2
312,2,3,5,6,12,20,25,15,"629,017,820",48,2,4,4,2,0,0,0,2,1,0,0,0,2
313,9,17,34,35,43,45,2,6,"1,715,422,800",183,5,1,1,1,0,2,2,4,1,0,0,0,2
314,15,17,19,34,38,41,2,6,"1,660,512,200",164,4,2,0,3,0,2,1,3,0,0,0,0,1
315,1,13,33,35,43,45,23,8,"1,308,728,625",170,6,0,1,1,0,2,2,4,0,0,0,0,3
316,10,11,21,27,31,39,43,6,"1,673,586,400",139,5,1,1,1,2,2,0,4,1,0,0,0,3
317,3,10,11,22,36,39,8,4,"2,576,258,550",121,3,3,2,1,1,2,0,4,1,0,0,0,1
318,2,17,19,20,34,45,21,9,"1,207,436,600",137,3,3,1,3,0,1,1,4,1,0,0,0,1
319,5,8,22,28,33,42,37,5,"2,135,659,380",138,2,4,2,0,2,1,1,4,0,0,0,0,2
320,16,19,23,25,41,45,3,2,"5,513,067,900",169,5,1,0,2,2,0,2,3,0,0,0,0,2
321,12,18,20,21,25,34,42,6,"1,959,136,100",130,2,4,0,3,2,1,0,3,1,0,0,0,1
322,9,18,29,32,38,43,20,6,"1,904,544,700",169,3,3,1,1,1,2,1,5,0,0,0,0,2
323,10,14,15,32,36,42,3,8,"1,461,025,388",149,1,5,1,2,0,2,1,4,1,0,0,0,2
324,2,4,21,25,33,36,17,6,"1,865,130,350",121,3,3,2,0,2,2,0,3,0,0,0,0,1
325,7,17,20,32,44,45,33,6,"1,806,122,450",165,3,3,1,2,0,1,2,4,1,0,0,0,2
326,16,23,25,33,36,39,40,6,"1,832,134,550",172,4,2,0,1,2,3,0,3,0,0,0,0,2
327,6,12,13,17,32,44,24,12,"882,674,750",124,2,4,1,3,0,1,1,4,1,0,0,0,2
328,1,6,9,16,17,28,24,6,"1,819,795,900",77,3,3,3,2,1,0,0,3,1,0,0,0,2
329,9,17,19,30,35,42,4,6,"1,830,391,200",152,4,2,1,2,1,1,1,5,0,0,0,0,2
330,3,4,16,17,19,20,23,9,"1,162,280,200",79,3,3,2,4,0,0,0,2,1,0,0,0,1
331,4,9,14,26,31,44,39,5,"2,165,902,620",128,2,4,2,1,1,1,1,5,0,0,0,0,3
332,16,17,34,36,42,45,3,8,"1,359,448,388",190,2,4,0,2,0,2,2,3,1,0,0,0,2
333,5,14,27,30,39,43,35,7,"1,550,987,143",158,4,2,1,1,2,1,1,5,0,0,0,0,1
334,13,15,21,29,39,43,33,7,"1,523,002,972",160,6,0,0,2,2,1,1,4,0,0,0,0,2
335,5,9,16,23,26,45,21,5,"2,037,492,480",124,4,2,2,1,2,0,1,4,0,0,0,0,2
336,3,5,20,34,35,44,16,6,"1,685,632,650",141,3,3,2,1,0,2,1,4,1,0,0,0,2
337,1,5,14,18,32,37,4,8,"1,257,500,513",107,3,3,2,2,0,2,0,3,0,0,0,0,1
338,2,13,34,38,42,45,16,3,"3,383,431,000",174,2,4,1,1,0,2,2,4,0,0,0,0,2
339,6,8,14,21,30,37,45,9,"1,096,778,334",116,2,4,2,1,2,1,0,4,0,0,0,0,1
340,18,24,26,29,34,38,32,7,"1,439,393,186",169,1,5,0,1,3,2,0,3,0,0,0,0,2
341,1,8,19,34,39,43,41,7,"1,497,207,772",144,4,2,2,1,0,2,1,4,0,0,0,0,2
342,1,13,14,33,34,43,25,3,"3,454,095,800",138,4,2,1,2,0,2,1,4,1,0,0,0,3
343,1,10,17,29,31,43,15,6,"1,717,153,000",131,5,1,2,1,1,1,1,5,0,0,0,0,2
344,1,2,15,28,34,45,38,7,"1,467,106,543",125,3,3,2,1,1,1,1,5,1,0,0,0,2
345,15,20,23,29,39,42,2,2,"5,203,577,550",168,4,2,0,2,2,1,1,4,0,0,0,0,2
346,5,13,14,22,44,45,33,5,"2,017,727,340",143,3,3,1,2,1,0,2,4,1,0,0,0,2
347,3,8,13,27,32,42,10,7,"1,456,624,286",125,3,3,2,1,1,1,1,5,0,0,0,0,2
348,3,14,17,20,24,31,34,3,"3,299,994,000",109,3,3,1,3,1,1,0,4,0,0,0,0,2
349,5,13,14,20,24,25,36,3,"3,353,209,000",101,3,3,1,3,2,0,0,3,1,0,0,0,2
350,1,8,18,24,29,33,35,9,"1,101,052,467",113,3,3,2,1,2,1,0,4,0,0,0,0,2
351,5,25,27,29,34,36,33,4,"2,583,357,150",156,4,2,1,0,3,2,0,3,0,0,0,0,2
352,5,16,17,20,26,41,24,6,"1,732,858,250",125,3,3,1,3,1,0,1,4,1,0,0,0,2
353,11,16,19,22,29,36,26,2,"5,290,838,250",133,3,3,0,3,2,1,0,3,0,0,0,0,2
354,14,19,36,43,44,45,1,5,"2,124,464,340",201,3,3,0,2,0,1,3,3,0,1,0,0,2
355,5,8,29,30,35,44,38,5,"2,145,424,800",151,3,3,2,0,2,1,1,4,1,0,0,0,2
356,2,8,14,25,29,45,24,9,"1,157,185,267",123,3,3,2,1,2,0,1,4,0,0,0,0,2
357,10,14,18,21,36,37,5,2,"5,313,394,350",136,2,4,1,2,1,2,0,4,1,0,0,0,1
358,1,9,10,12,21,40,37,3,"3,472,654,900",93,3,3,3,1,1,1,0,4,1,0,0,0,2
359,1,10,19,20,24,40,23,8,"1,286,712,600",114,2,4,2,2,1,1,0,4,1,0,0,0,3
360,4,16,23,25,35,40,27,3,"3,566,716,200",143,3,3,1,1,2,2,0,4,0,0,0,0,2
361,5,10,16,24,27,35,33,7,"1,473,115,115",117,3,3,2,1,2,1,0,4,0,0,0,0,2
362,2,3,22,27,30,40,29,6,"1,729,424,650",124,2,4,2,0,3,1,0,3,1,0,0,0,2
363,11,12,14,21,32,38,6,4,"2,615,910,600",128,2,4,0,3,1,2,0,3,1,0,0,0,2
364,2,5,7,14,16,40,4,4,"2,531,914,800",84,2,4,3,2,0,1,0,3,0,0,0,0,1
365,5,15,21,25,26,30,31,1,"10,697,716,800",122,4,2,1,1,4,0,0,3,1,0,0,0,3
366,5,12,19,26,27,44,38,2,"5,351,553,900",133,3,3,1,2,2,0,1,4,1,0,0,0,1
367,3,22,25,29,32,44,19,7,"1,581,736,586",155,3,3,1,0,3,1,1,4,0,0,0,0,2
368,11,21,24,30,39,45,26,7,"1,465,825,115",170,4,2,0,1,3,1,1,4,0,0,0,0,2
369,17,20,35,36,41,43,21,6,"1,842,177,750",192,4,2,0,2,0,2,2,3,1,0,0,0,1
370,16,18,24,42,44,45,17,7,"1,678,941,943",189,1,5,0,2,1,0,3,3,1,0,0,0,2
371,7,9,15,26,27,42,18,7,"1,524,130,543",126,4,2,2,1,2,0,1,4,1,0,0,0,2
372,8,11,14,16,18,21,13,9,"1,192,593,200",88,2,4,1,4,1,0,0,3,0,0,0,0,2
373,15,26,37,42,43,45,9,4,"2,791,801,125",208,4,2,0,1,1,1,3,4,1,0,0,0,2
374,11,13,15,17,25,34,26,2,"5,528,717,850",115,5,1,0,4,1,1,0,3,0,0,0,0,2
375,4,8,19,25,27,45,7,7,"1,581,284,058",128,4,2,2,1,2,0,1,4,0,0,0,0,2
376,1,11,13,24,28,40,7,6,"1,956,915,800",117,3,3,1,2,2,1,0,4,0,0,0,0,2
